     1 Ceres             ---        0.059 3  0.1132 0.005 1  0.0630 0.0710 0.0680   3   0.04  0.01  5 
     2 Pallas            ---        0.093 2  0.1587 0.013 1  0.0810 0.0790 0.0800   3   0.08  0.01  3 
     3 Juno              ---        0.162 2  0.2383 0.025 1  0.1680 0.1820 0.1770   3  -9.99 -9.99 -9 
     4 Vesta             ---        0.255 3  0.4228 0.053 1  0.2200 0.2730 0.2550   3   0.12  0.05  5 
     5 Astraea           ---        0.125 2  0.2268 0.027 1  0.1860 0.1860 0.1860   3   0.20  0.01  2 
     6 Hebe              ---        0.162 2  0.2679 0.008 1  0.1580 0.1960 0.1830   2   0.16  0.05  1 
     7 Iris              ---        0.196 3  0.2766 0.030 1  0.1710 0.1840 0.1800   3   0.14  0.04  4 
     8 Flora             ---        0.133 2  0.2426 0.008 1  0.1930 0.1720 0.1790   3   0.10  0.03  1 
     9 Metis             ---        0.118 3  -.9999 -.999 0  0.1740 0.1750 0.1750   2   0.13  0.05  2 
    10 Hygiea            ---        0.050 3  0.0717 0.002 1  0.0730 -.9999 0.0730   1  -9.99 -9.99 -9 
    11 Parthenope        ---        0.116 2  0.1803 0.007 1  0.1770 0.1450 0.1560   3  -9.99 -9.99 -9 
    12 Victoria          ---        0.098 2  0.1765 0.010 1  0.1930 0.1310 0.1520   2   0.22  0.03  2 
    13 Egeria            ---        0.055 3  0.0825 0.007 1  0.0490 0.0710 0.0640   2  -9.99 -9.99 -9 
    14 Irene             ---        0.159 3  -.9999 -.999 0  0.1530 0.1700 0.1640   2  -9.99 -9.99 -9 
    15 Eunomia           ---        0.163 2  0.2094 0.027 1  0.1800 0.1490 0.1590   1  -9.99 -9.99 -9 
    16 Psyche            ---        0.094 3  0.1203 0.004 1  0.1150 0.1980 0.1700   2   0.31  0.01  2 
    17 Thetis            ---        0.108 2  0.1715 0.015 1  0.1740 0.1370 0.1490   2  -9.99 -9.99 -9 
    18 Melpomene         ---        0.149 2  0.2225 0.009 1  0.1430 0.1770 0.1660   3   0.16  0.03  2 
    19 Fortuna           ---        0.037 3  -.9999 -.999 0  0.0620 0.0600 0.0610   2   0.08  0.01  2 
    20 Massalia          ---        0.189 2  0.2096 0.030 1  0.1890 0.1940 0.1920   2   0.16  0.06  1 
    21 Lutetia           ---        0.106 2  0.2212 0.020 1  0.0860 0.1070 0.1000   2   0.17  0.07  1 
    22 Kalliope          ---        0.108 2  0.1419 0.007 1  0.1230 -.9999 0.1230   2  -9.99 -9.99 -9 
    23 Thalia            ---        0.200 2  0.2536 0.011 1  0.1740 0.1840 0.1810   2  -9.99 -9.99 -9 
    24 Themis            ---        -.999 9  -.9999 -.999 0  0.0660 0.0950 0.0850   2  -9.99 -9.99 -9 
    25 Phocaea           ---        0.194 2  0.2310 0.024 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    26 Proserpina        ---        -.999 9  0.1955 0.007 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    27 Euterpe           ---        0.162 2  -.9999 -.999 0  0.1860 0.1800 0.1820   2   0.10  0.05  1 
    28 Bellona           ---        0.120 1  0.1763 0.010 1  0.1770 -.9999 0.1770   1  -9.99 -9.99 -9 
    29 Amphitrite        ---        0.147 2  0.1793 0.012 1  0.1410 0.1820 0.1680   2  -9.99 -9.99 -9 
    30 Urania            ---        0.152 2  0.1668 0.006 1  0.1630 0.1720 0.1690   2  -9.99 -9.99 -9 
    31 Euphrosyne        ---        -.999 9  0.0543 0.005 1  0.0860 -.9999 0.0860   1  -9.99 -9.99 -9 
    32 Pomona            ---        -.999 9  0.2564 0.010 1  0.2120 -.9999 0.2120   2  -9.99 -9.99 -9 
    33 Polyhymnia        ---        -.999 9  -.9999 -.999 0  -.9999 -.9999 -.9999  -9   0.14  0.07  1 
    34 Circe             ---        0.043 1  0.0541 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    35 Leukothea         ---        -.999 9  0.0662 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    36 Atalante          ---        0.039 1  0.0654 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    37 Fides             ---        0.206 2  0.1826 0.007 1  0.1770 -.9999 0.1770   1  -9.99 -9.99 -9 
    38 Leda              ---        -.999 9  0.0618 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    39 Laetitia          ---        0.168 1  0.2869 0.036 1  0.1600 0.1890 0.1850   3  -9.99 -9.99 -9 
    40 Harmonia          ---        0.148 2  0.2418 0.031 1  0.1470 0.1790 0.1680   3  -9.99 -9.99 -9 
    41 Daphne            ---        0.045 2  0.0828 0.012 1  0.0560 -.9999 0.0560   1   0.11  0.04  1 
    42 Isis              ---        0.159 2  0.1712 0.012 1  0.2080 0.1390 0.1620   2  -9.99 -9.99 -9 
    43 Ariadne           ---        0.130 1  0.2740 0.022 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    44 Nysa              ---        0.480 2  0.5458 0.067 1  0.5460 0.3400 0.4090   2  -9.99 -9.99 -9 
    45 Eugenia           ---        0.030 2  0.0398 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    46 Hestia            ---        0.036 3  0.0519 0.003 1  0.0710 -.9999 0.0710   1   0.07  0.03  1 
    47 Aglaja            ---        0.035 1  0.0801 0.011 1  0.0770 0.0890 0.0850   3  -9.99 -9.99 -9 
    48 Doris             ---        -.999 9  0.0624 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    49 Pales             ---        -.999 9  0.0597 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    50 Virginia          ---        -.999 9  0.0357 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    51 Nemausa           ---        0.062 3  0.0928 0.003 1  0.0560 0.0620 0.0600   2  -9.99 -9.99 -9 
    52 Europa            ---        0.047 2  0.0578 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    53 Kalypso           ---        -.999 9  0.0397 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    54 Alexandra         ---        0.037 2  0.0555 0.002 1  0.0530 0.0510 0.0520   2  -9.99 -9.99 -9 
    55 Pandora           ---        -.999 9  0.3013 0.028 1  0.1150 -.9999 0.1150   2  -9.99 -9.99 -9 
    56 Melete            ---        0.031 2  0.0653 0.002 1  0.0750 0.0570 0.0630   3  -9.99 -9.99 -9 
    57 Mnemosyne         ---        -.999 9  0.2149 0.011 1  0.1830 -.9999 0.1830   1  -9.99 -9.99 -9 
    58 Concordia         ---        -.999 9  0.0578 0.004 1  0.0630 -.9999 0.0630   1  -9.99 -9.99 -9 
    59 Elpis             ---        -.999 9  0.0438 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    60 Echo              ---        0.194 2  0.2535 0.016 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    61 Danae             ---        -.999 9  0.2224 0.025 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    62 Erato             ---        -.999 9  0.0608 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    63 Ausonia           ---        0.159 3  0.1586 0.008 1  0.1860 0.1750 0.1790   2  -9.99 -9.99 -9 
    64 Angelina          ---        0.157 2  -.9999 -.999 0  0.4840 0.4750 0.4780   3  -9.99 -9.99 -9 
    65 Cybele            ---        0.027 2  0.0706 0.003 1  0.0920 -.9999 0.0920   2  -9.99 -9.99 -9 
    66 Maja              ---        0.029 1  0.0601 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    67 Asia              ---        0.194 1  0.2551 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    68 Leto              ---        0.147 3  0.2283 0.021 1  0.1930 -.9999 0.1930   1  -9.99 -9.99 -9 
    69 Hesperia          ---        0.183 2  0.1402 0.010 1  0.1070 -.9999 0.1070   1  -9.99 -9.99 -9 
    70 Panopaea          ---        0.036 2  0.0675 0.003 1  0.0570 -.9999 0.0570   2  -9.99 -9.99 -9 
    71 Niobe             ---        -.999 9  0.3052 0.013 1  0.2200 -.9999 0.2200   1  -9.99 -9.99 -9 
    72 Feronia           ---        0.039 1  0.0633 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    73 Klytia            ---        -.999 9  0.2247 0.039 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    74 Galatea           ---        -.999 9  0.0431 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    75 Eurydike          ---        -.999 9  0.1486 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    76 Freia             ---        0.071 1  0.0362 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    77 Frigga            ---        0.115 1  0.1440 0.009 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    78 Diana             ---        -.999 9  0.0706 0.003 1  -.9999 -.9999 -.9999  -9   0.13  0.04  1 
    79 Eurynome          ---        0.145 3  0.2618 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    80 Sappho            ---        0.131 2  0.1848 0.008 1  0.1710 -.9999 0.1710   1   0.14  0.05  1 
    81 Terpsichore       ---        -.999 9  0.0505 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    82 Alkmene           ---        0.169 2  0.2075 0.011 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    83 Beatrix           ---        -.999 9  0.0917 0.005 1  0.0750 -.9999 0.0750   1  -9.99 -9.99 -9 
    84 Klio              ---        0.032 2  0.0527 0.002 1  0.0740 0.0600 0.0650   2   0.15  0.07  1 
    85 Io                ---        0.054 2  0.0666 0.003 1  0.0830 -.9999 0.0830   1  -9.99 -9.99 -9 
    86 Semele            ---        -.999 9  0.0471 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    87 Sylvia            ---        -.999 9  0.0435 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    88 Thisbe            ---        0.045 2  0.0671 0.003 1  0.0730 -.9999 0.0730   1  -9.99 -9.99 -9 
    89 Julia             ---        0.114 2  0.1764 0.007 1  0.1370 0.1510 0.1460   1  -9.99 -9.99 -9 
    90 Antiope           ---        -.999 9  0.0603 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    91 Aegina            ---        0.035 2  0.0426 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    92 Undina            ---        -.999 9  0.2509 0.014 1  0.1660 -.9999 0.1660   1  -9.99 -9.99 -9 
    93 Minerva           ---        0.044 2  0.0881 0.005 1  0.0940 -.9999 0.0940   2  -9.99 -9.99 -9 
    94 Aurora            ---        0.036 2  0.0395 0.001 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    95 Arethusa          ---        0.019 1  0.0698 0.012 1  0.0590 -.9999 0.0590   1  -9.99 -9.99 -9 
    96 Aegle             ---        -.999 9  0.0523 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    97 Klotho            ---        0.121 2  0.2285 0.027 1  -.9999 -.9999 -.9999  -9   0.21  0.01  2 
    98 Ianthe            ---        -.999 9  0.0471 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
    99 Dike              ---        -.999 9  0.0577 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   100 Hekate            ---        -.999 9  0.1922 0.009 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   101 Helena            ---        -.999 9  0.1898 0.008 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   102 Miriam            ---        -.999 9  0.0507 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   103 Hera              ---        0.131 1  0.1833 0.025 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   104 Klymene           ---        -.999 9  0.0568 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   105 Artemis           ---        0.038 1  0.0465 0.002 1  -.9999 -.9999 -.9999  -9   0.16  0.07  1 
   106 Dione             ---        0.070 1  0.0893 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   107 Camilla           ---        0.051 1  0.0525 0.009 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   108 Hecuba            ---        -.999 9  0.2431 0.037 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   109 Felicitas         ---        0.062 2  0.0699 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   110 Lydia             ---        0.182 1  0.1808 0.009 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   111 Ate               ---        -.999 9  0.0605 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   112 Iphigenia         ---        -.999 9  0.0393 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   113 Amalthea          ---        0.244 2  0.2649 0.017 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   114 Kassandra         ---        -.999 9  0.0884 0.003 1  0.0920 -.9999 0.0920   1  -9.99 -9.99 -9 
   115 Thyra             ---        0.162 2  0.2747 0.010 1  0.1830 -.9999 0.1830   2  -9.99 -9.99 -9 
   116 Sirona            ---        0.175 2  0.2560 0.047 1  0.1860 -.9999 0.1860   1  -9.99 -9.99 -9 
   117 Lomia             ---        -.999 9  0.0528 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   118 Peitho            ---        -.999 9  0.2240 0.017 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   119 Althaea           ---        -.999 9  0.2306 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   120 Lachesis          ---        0.037 2  0.0463 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   121 Hermione          ---        -.999 9  0.0482 0.002 1  0.0620 -.9999 0.0620   1  -9.99 -9.99 -9 
   122 Gerda             ---        -.999 9  0.1883 0.009 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   123 Brunhild          ---        0.168 1  0.2134 0.026 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   124 Alkeste           ---        0.152 2  0.1728 0.008 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   125 Liberatrix        ---        -.999 9  0.2253 0.026 1  0.1510 -.9999 0.1510   1  -9.99 -9.99 -9 
   126 Velleda           ---        -.999 9  0.1723 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   128 Nemesis           ---        -.999 9  0.0504 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   129 Antigone          ---        0.164 2  -.9999 -.999 0  0.1370 -.9999 0.1370   2  -9.99 -9.99 -9 
   130 Elektra           ---        0.067 1  0.0762 0.011 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   131 Vala              ---        0.128 2  0.1051 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   132 Aethra            ---        -.999 9  0.1718 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   133 Cyrene            ---        -.999 9  0.2563 0.053 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   134 Sophrosyne        ---        -.999 9  0.0364 0.001 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   135 Hertha            ---        0.124 2  0.1436 0.007 1  0.1120 -.9999 0.1120   1  -9.99 -9.99 -9 
   136 Austria           ---        -.999 9  0.1459 0.007 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   137 Meliboea          ---        0.038 1  0.0503 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   138 Tolosa            ---        -.999 9  0.2699 0.027 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   139 Juewa             ---        0.034 1  0.0557 0.002 1  0.0860 0.0690 0.0750   2   0.06  0.03  1 
   140 Siwa              ---        0.057 3  0.0676 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   141 Lumen             ---        -.999 9  0.0540 0.002 1  0.0590 0.0550 0.0560   2  -9.99 -9.99 -9 
   142 Polana            ---        0.039 1  0.0451 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   143 Adria             ---        -.999 9  0.0491 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   144 Vibilia           ---        0.054 2  0.0603 0.003 1  -.9999 -.9999 -.9999  -9   0.11  0.04  1 
   145 Adeona            ---        -.999 9  0.0433 0.002 1  0.0560 -.9999 0.0560   2  -9.99 -9.99 -9 
   146 Lucina            ---        0.043 1  0.0531 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   147 Protogeneia       ---        -.999 9  0.0492 0.004 1  0.0710 -.9999 0.0710   1  -9.99 -9.99 -9 
   148 Gallia            ---        -.999 9  0.1626 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   149 Medusa            ---        -.999 9  0.2199 0.021 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   150 Nuwa              ---        -.999 9  0.0395 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   151 Abundantia        ---        -.999 9  0.1728 0.007 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   153 Hilda             ---        -.999 9  0.0618 0.002 1  0.1130 -.9999 0.1130   1  -9.99 -9.99 -9 
   154 Bertha            ---        -.999 9  0.0480 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   155 Scylla            ---        -.999 9  0.0309 0.007 2  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   156 Xanthippe         ---        -.999 9  0.0422 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   158 Koronis           ---        0.159 2  0.2766 0.024 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   159 Aemilia           ---        0.036 2  0.0639 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   160 Una               ---        -.999 9  0.0625 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   161 Athor             ---        -.999 9  0.1980 0.033 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   162 Laurentia         ---        -.999 9  0.0529 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   163 Erigone           ---        -.999 9  0.0546 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   164 Eva               ---        -.999 9  0.0485 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   165 Loreley           ---        -.999 9  0.0775 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   167 Urda              ---        -.999 9  0.2230 0.023 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   168 Sibylla           ---        -.999 9  0.0535 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   169 Zelia             ---        -.999 9  0.2347 0.041 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   170 Maria             ---        -.999 9  0.1579 0.007 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   171 Ophelia           ---        0.099 1  0.0615 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   172 Baucis            ---        0.097 2  0.1382 0.006 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   173 Ino               ---        -.999 9  0.0642 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   174 Phaedra           ---        -.999 9  0.1495 0.021 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   175 Andromache        ---        -.999 9  0.0823 0.005 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   176 Iduna             ---        -.999 9  0.0834 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   177 Irma              ---        -.999 9  0.0527 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   178 Belisana          ---        -.999 9  0.2438 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   179 Klytaemnestra     ---        -.999 9  0.1609 0.006 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   181 Eucharis          ---        -.999 9  0.1150 0.006 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   182 Elsa              ---        0.223 1  0.2083 0.045 1  0.2080 -.9999 0.2080   2  -9.99 -9.99 -9 
   183 Istria            ---        -.999 9  0.1890 0.034 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   184 Dejopeja          ---        -.999 9  0.1897 0.012 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   185 Eunike            ---        -.999 9  0.0638 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   186 Celuta            ---        0.145 2  0.1929 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   187 Lamberta          ---        -.999 9  0.0559 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   188 Menippe           ---        -.999 9  0.2431 0.013 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   189 Phthia            ---        0.141 2  0.2310 0.027 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   191 Kolga             ---        -.999 9  0.0408 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   192 Nausikaa          ---        0.185 3  0.2330 0.009 1  0.1710 0.2120 0.1980   3   0.13  0.05  1 
   194 Prokne            ---        0.033 2  0.0528 0.003 1  -.9999 -.9999 -.9999  -9   0.23  0.09  1 
   195 Eurykleia         ---        -.999 9  0.0599 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   196 Philomela         ---        0.126 2  0.2280 0.023 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   197 Arete             ---        -.999 9  0.4417 0.083 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   198 Ampella           ---        -.999 9  0.2517 0.027 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   200 Dynamene          ---        -.999 9  0.0533 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   201 Penelope          ---        -.999 9  0.1604 0.018 1  0.1190 -.9999 0.1190   2  -9.99 -9.99 -9 
   202 Chryseis          ---        -.999 9  0.2562 0.015 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   203 Pompeja           ---        -.999 9  0.0410 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   204 Kallisto          ---        0.146 1  0.2082 0.010 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   205 Martha            ---        -.999 9  0.0548 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   207 Hedda             ---        -.999 9  0.0552 0.003 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   208 Lacrimosa         ---        0.190 3  0.2696 0.023 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   209 Dido              ---        -.999 9  0.0349 0.001 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   210 Isabella          ---        -.999 9  0.0436 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   211 Isolda            ---        0.034 2  0.0602 0.004 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
   212 Medea             ---        -.999 9  0.0465 0.002 1  -.9999 -.9999 -.9999  -9  -9.99 -9.99 -9 
